MODE,CALL,QSO_COUNT_80m,QSO_COUNT_40m,POINT_80m,POINT_40m,MULT_80m,MULT_40m,SCORE,POWER,COUNTY,CHECKLOG
PH,OH6BQH,,18,,35,,15,525,LOW,PO,N
PH,OH6RE,33,91,66,174,26,52,18720,HIGH,KE,N
PH,OH6UX,37,43,72,77,28,33,9089,LOW,KE,N
PH,OH8K,72,92,141,182,46,51,31331,HIGH,KE,N
PH,OH8NW,59,89,115,164,43,49,25668,HIGH,VA,N
PH,OI3V,89,54,175,103,49,39,24464,HIGH,PM,N
PH,OZ1KKH,21,25,40,49,18,23,3649,LOW,VJ,N
PH,OZ2PBS,42,58,79,113,30,40,13440,HIGH,VS,N
PH,OZ4NA,35,40,68,78,31,27,8468,LOW,NJ,N
PH,OZ5E,35,38,67,74,29,27,7896,HIGH,VJ,N
PH,8S0C,66,55,127,105,42,34,17632,HIGH,SL,N
PH,SA1CCQ,58,52,109,99,37,31,14144,LOW,GO,N
PH,SA5X,16,14,28,21,14,10,1176,LOW,OG,N
PH,SE4E,50,17,95,33,36,16,6656,LOW,DA,N
PH,SE5W,23,21,45,41,18,19,3182,LOW,UP,N
PH,SK2T,69,76,131,149,40,45,23800,HIGH,VB,N
PH,SM2M,82,83,159,165,50,47,31428,HIGH,VB,N
PH,SM5ACQ,49,56,92,104,36,36,14112,LOW,VM,N
PH,SM7ATL,28,33,52,65,23,23,5382,LOW,KA,N
PH,YL2BJ,87,63,164,125,46,39,24565,HIGH,VR,N
PH,YL2EA,54,33,99,57,33,22,8580,HIGH,RR,N
PH,YL2GD,80,83,153,159,48,47,29640,HIGH,AU,N
PH,YL2KN,36,37,69,72,26,25,7191,LOW,AU,N
PH,YL2KO,74,97,146,182,44,53,31816,HIGH,AU,N
PH,YL2NK,40,42,72,78,27,25,7800,LOW,LI,N
PH,YL2PP,64,72,125,142,40,46,22962,HIGH,RR,N
PH,YL2QG,45,41,87,81,33,30,10584,LOW,LI,N
PH,YL2TD,31,54,62,105,23,29,8684,HIGH,RR,N
PH,YL2VW,93,91,181,176,53,51,37128,HIGH,RR,N
PH,YL3ANT,26,,50,,19,,950,LOW,RE,N
PH,YL3FT,61,44,117,85,36,32,13736,HIGH,OE,N
PH,YL3FW,40,32,75,63,29,23,7176,LOW,LI,N
PH,YL3GI,25,56,47,104,20,33,8003,LOW,RR,N
PH,YL3GV,55,42,110,81,37,30,12797,LOW,AU,N
PH,YL3IR,22,16,44,31,18,12,2250,LOW,GU,N
PH,YL3JA,61,49,116,97,35,34,14697,LOW,TU,N
PH,YL3KW,31,20,56,38,23,16,3666,LOW,VK,N
PH,YL3ND,39,39,72,77,26,28,8046,LOW,TS,N
PH,YL5W,56,46,109,88,34,31,12805,HIGH,BV,N
PH,YL7A,76,56,146,111,48,39,22359,HIGH,VK,N
PH,YL7X,96,91,185,178,53,47,36300,HIGH,KG,N
PH,YL9T,85,82,163,156,49,44,29667,HIGH,VK,N
